,departments
0,African American Studies 
1,African Studies 
2,American Studies 
3,Anthropology 
4,Applied Mathematics 
5,Applied Physics 
6,Archaeological Studies 
7,Architecture 
8,Art 
9,Astronomy
10,Biomedical Engineering
11,British Studies 
12,Chemical Engineering
13,Chemistry
14,Child Study Center 
15,Classics
16,Cognitive Science
17,College Seminar Program 
18,Comparative Literature
19,Computer Science
20,Computer Science and Economics
21,Computer Science and Mathematics
22,Computer Science and Psychology
23,Computing and the Arts
24,Directed Studies 
25,East Asian Languages and Literatures
26,East Asian Studies
27,Ecology and Evolutionary Biology
28,Economics
29,Economics and Mathematics
30,Education Studies
31,Electrical Engineering
32,Electrical Engineering and Computer Science
33,Energy Studies
34,Engineering and Applied Science
35,English Language and Literature
36,Environmental Engineering
37,Environmental Studies
38,"Ethics, Politics, and Economics"
39,"Ethnicity, Race, and Migration"
40,Film and Media Studies
41,French
42,Freshman Seminar Program 
43,Geology and Geophysics
44,Germanic Languages and Literatures
45,Global Affairs
46,Global Health Studies 
47,Hellenic Studies 
48,History
49,History of Art
50,"History of Science, Medicine, and Public Health"
51,Human Rights Program Director
52,Humanities
53,IT
54,Italian
55,Judaic Studies
56,Latin American Studies
57,Linguistics
58,Mathematics
59,Mathematics and Philosophy
60,Mathematics and Physics
61,Mechanical Engineering
62,Modern Middle East Studies
63,Molecular Biophysics and Biochemistry
64,"Molecular, Cellular, and Developmental Biology"
65,Music
66,Near Eastern Languages and Civilizations
67,Neuroscience
68,Philosophy
69,Physics
70,Physics & Geosciences 
71,Physics and Philosophy
72,Political Science
73,Portuguese
74,Psychology
75,Religious Studies
76,ROTC - Air Force
77,ROTC - Navy
78,Russian and East European Studies
79,Slavic Languages and Literatures
80,Sociology
81,South Asian Studies 
82,Southeast Asia Studies
83,Spanish
84,Special Divisional Majors
85,Statistics and Data Science
86,Theater and Performance Studies
87,Urban Studies
88,"Women’s, Gender, and Sexuality Studies"
