,url:,text:
0,,
1,http://studentorgs.yalecollege.yale.edu/directory,complete list of registered student organizations
2,http://www.bakersdozenyale.com/,Baker's Dozen
3,http://magevet.weebly.com/,Magevet
4,http://www.mixedco.net,Mixed Company of Yale
5,https://yaleootb.com/,Out of the Blue
6,http://www.yalepitchesandtones.com/,Pitches and Tones
7,http://www.yaleproofofthepudding.com/,Proof of the Pudding
8,http://redhotandblueofyale.org,Redhot & Blue
9,http://www.shadesofyale.org/,Shades
10,http://www.somethingextrayale.com/,Something Extra
11,http://www.spizzwinks.com,Spizzwinks
12,http://www.thedukesmenofyale.com/,The Duke's Men of Yale
13,http://www.newblueofyale.com/,The New Blue
14,http://yalesobs.com/,The Society of Orpheus and Bacchus
15,http://www.yalealleycats.com,The Yale Alley Cats
16,http://www.whiffenpoofs.com,Whiffenpoofs
17,http://whimnrhythm.com/,Whim 'n Rhythm
18,http://yalerussianchorus.org,Yale Russian Chorus
19,http://www.yale.edu/ysc/,Yale Slavic Chorus
20,https://www.facebook.com/yalechapterofasme/?fref=ts,American Society of Mechanical Engineers Yale Chapter
21,http://clubgeo.sites.yale.edu/,Club Geo
22,http://lightandtruthmagazine.com/,Light and Truth
23,http://www.yale.edu/mocktrial/,Mock Trial Association
24,http://spsyale.sites.yale.edu/,Society of Physics Students
25,http://uwisay.sites.yale.edu/,Undergraduate Women in Science at Yale
26,http://yalechess.org/,Yale College Chess Club
27,http://www.yaledebate.org/,Yale Debate Association
28,http://www.yale.edu/ysac/,Yale Student Academic Competitions
29,http://yuea.sites.yale.edu/,Yale Undergraduate Economics Association
30,https://yums.sites.yale.edu/,Yale Undergraduate Math Society
31,http://yalebp.herokuapp.com/#/,Bulldog Productions
32,http://yfs.sites.yale.edu/,The Yale Film Society
33,http://yalefashion.com/,Y Fashion House
34,http://yaleartsociety.wix.com/home,Yale Art Society
35,http://filmalliance.yale.edu/,Yale Film Alliance
36,http://badminton.sites.yale.edu/,Club Badminton
37,https://www.facebook.com/yalecricketclub/,Club Cricket
38,http://sportsandrecreation.yale.edu/club-golf,Club Golf
39,http://sportsandrecreation.yale.edu/ice-hockey-0,Club Ice Hockey
40,http://www.yale.edu/soccer/,Club Men's Soccer
41,http://yalepolo.wix.com/yalepoloteam,Club Polo
42,http://www.yalerfc.com,Club Rugby Football (Men's)
43,http://www.yalewomensrugby.com/,Club Rugby Football (Women's)
44,https://sites.google.com/site/yalewomensclubsoccer/,Club Soccer (Women's)
45,http://yaleclubtennis.wixsite.com/yale-club-tennis,Club Tennis
46,http://ymv.sites.yale.edu/,Club Volleyball (Men's)
47,http://womensclubvb.sites.yale.edu/,Club Volleyball (Women's)
48,https://sites.google.com/site/yalewaterpoloassociation/,Club Water Polo (Men's)
49,https://sites.google.com/site/yalewaterpoloassociation/,Club Water Polo (Women's)
50,http://www.yale.edu/pistol/,Rifle and Pistol Club
51,http://sports.sites.yale.edu/,Undergraduate Sports Analytics Group
52,http://www.yalebulldogs.com/landing/index,Varsity Sports
53,https://sites.google.com/site/yalewushu/,Wushu and Chinese Kung-Fu
54,http://www.yale.edu/cycling/,Yale Cycling Team
55,http://equestrian.yale.edu/,Yale Equestrian Team
56,http://sportsandrecreation.yale.edu/content/intramurals/intramurals,Yale Intramural Sports
57,http://yogisatyale.blogspot.com/,Yogis at Yale
58,http://www.elmseed.org/,The Elmseed Enterprise Fund
59,http://yesatyale.org/,Yale Entrepreneurial Society
60,http://www.yalenetimpact.org/,Yale Net Impact
61,https://www.facebook.com/yalestartupconsulting/,Yale Startup Consulting Group
