,school,principal_name
0,Aiton Elementary School,Malaika Golden
1,Anacostia High School,William Haith
2,Ballou STAY High School,Cara Fuller
3,Bard High School Early College DC (Bard DC),Vanessa Anderson
4,Beers Elementary School,Gwendolyn Payton
5,Brent Elementary School,Norah Lycknell
6,Brookland Middle School,Kerry Richardson
7,Bruce-Monroe Elementary School @ Park View,Alethea Bustillo
8,Burroughs Elementary School,LeVar Jenkins
9,C.W. Harris Elementary School,Heather Hairston
10,Cardozo Education Campus,Arthur Mola
11,Columbia Heights Education Campus,Maria Tukeva
12,Deal Middle School,Diedre Neal
13,Drew Elementary School,Naimah Salahuddin
14,Dunbar High School,Nadine Smith
15,Eaton Elementary School,Dale Mann
16,Excel Academy,Tenia Pritchard
17,Garrison Elementary School,Brigham Kiplinger
18,H.D. Woodson High School,William Massey
19,Hart Middle School,Charlette Butler
20,Hendley Elementary School,Sundai Riggins
21,Hyde-Addison Elementary School,Calvin Hooks
22,Inspiring Youth Program,Tanya Roane
23,Janney Elementary School,Alysia Lutz
24,Johnson Middle School,Courtney Taylor
25,Ketcham Elementary School,Maisha Riddlesprigger
26,Kimball Elementary School,Johann Lee
27,Kramer Middle School,Katreena Shelby
28,Langdon Elementary School,Kemi Baltimore-Husbands
29,LaSalle-Backus Education Campus,Shelly Gray
30,Leckie Education Campus,Niyeka Wilson
31,Luke C. Moore High School,Rodney Wormsley
32,Malcolm X Elementary School @ Green,Zara Berry-Young
33,Marie Reed Elementary School,Katie Lundgren
34,McKinley Middle School,Louise Jones
35,Miner Elementary School,Bruce Jackson
36,Murch Elementary School,Chris Cebrzynski
37,Noyes Elementary School,Kermit Burks
38,Patterson Elementary School,Victorie Thomas
39,Peabody Elementary School (Capitol Hill Cluster),Elena Bell
40,Plummer Elementary School,Terri Fuller
41,Randle Highlands Elementary School,Kristie Edwards
42,River Terrace Education Campus,Dr. Aimeé Cepeda Pressley
43,Roosevelt High School,Justin Ralston
44,Ross Elementary School,Holly Searl
45,School Without Walls @ Francis-Stevens,Richard Trogisch
46,School-Within-School @ Goding,John Burst
47,Shepherd Elementary School,Phyllis Hedlund
48,Smothers Elementary School,Kiana Williams
49,Stanton Elementary School,Harold McCray Jr.
50,Stuart-Hobson Middle School (Capitol Hill Cluster),Kristofer Comeforo
51,Thaddeus Stevens Early Learning Center,Amelia Hunt
52,Thomson Elementary School,Carmen Shepherd
53,Tubman Elementary School,Amanda Delabar
54,Tyler Elementary School,Jasmine Brann
55,Walker-Jones Education Campus,Clinton Turner
56,Watkins Elementary School (Capitol Hill Cluster),Elena Bell
57,Wheatley Education Campus,Shenora Plenty
58,Woodrow Wilson High School,Kim Martin
